The paper  |  solves  | automatic approach
The paper  |  solves  | realistic colorizations
The paper  |  solves  | automatic approach that produces vibrant and realistic colorizations
The paper  |  outputs  | vibrant
The paper  |  outputs  | realistic colorizations
The paper  |  outputs  | vibrant and realistic colorizations
The paper  |  uses  | class-rebalancing
The paper  |  uses  | diversity
The paper  |  uses  | colors
The paper  |  uses  | result
The paper  |  uses  | class-rebalancing to increase the diversity of colors in the result
The paper  |  uses  | colorization
The paper  |  uses  | test
The paper  |  uses  | human participants
The paper  |  uses  | ground truth color image
The paper  |  uses  | colorization turing test , '' asking human participants to choose between a generated and ground truth color image
The paper  |  uses  | loss
The paper  |  uses  | colorization problem
The paper  |  uses  | loss tailored to the colorization problem
The paper  |  outputs  | ﬁnal colorization
The paper  |  outputs  | novel way
The paper  |  outputs  | colorization results
The paper  |  outputs  | novel way of evaluating colorization results
The paper  |  outputs  | perceptual realism
The paper  |  outputs  | many cases
The paper  |  outputs  | algorithm
The paper  |  outputs  | photorealistic results
The paper  |  outputs  | figure
The paper  |  outputs  | successful examples
The paper  |  outputs  | algorithm
The paper  |  outputs  | many cases , our algorithm is producing nearly photorealistic results ( see figure 1 for selected successful examples from our algorithm
The paper  |  uses  | own source
The paper  |  uses  | supervision
The paper  |  uses  | own source of supervision
The paper  |  outputs  | appropriate objective function
The paper  |  outputs  | multimodal uncertainty
The paper  |  outputs  | colorization problem
The paper  |  outputs  | wide diversity
The paper  |  outputs  | colors
The paper  |  outputs  | b
The paper  |  outputs  | novel framework
The paper  |  outputs  | colorization algorithms
The paper  |  outputs  | other image synthesis tasks
The paper  |  outputs  | c
The paper  |  outputs  | new high-water mark
The paper  |  outputs  | task
The paper  |  outputs  | color photos
The paper  |  outputs  | appropriate objective function that handles the multimodal uncertainty of the colorization problem and captures a wide diversity of colors , ( b ) introducing a novel framework for testing colorization algorithms , potentially applicable to other image synthesis tasks , and ( c ) setting a new high-water mark on the task by training on a million color photos
The paper  |  outputs  | colorization task
The paper  |  outputs  | straightforward method
The paper  |  outputs  | self-supervised representation learning
The paper  |  outputs  | colorization task as a competitive and straightforward method for self-supervised representation learning
The paper  |  uses  | classiﬁcation loss
The paper  |  uses  | rare classes
The paper  |  uses  | classiﬁcation loss , with rebalanced rare classes
The paper  |  uses  | local features
The paper  |  uses  | single-stream
The paper  |  outputs  | quantitative comparisons
The paper  |  outputs  | al
The paper  |  outputs  | quantitative comparisons to larsson et al
The paper  |  uses  | multinomial cross entropy loss lcl
The paper  |  uses  | soft-encoding
The paper  |  uses  | training
The paper  |  uses  | network
The paper  |  uses  | relationship
The paper  |  uses  | elements
The paper  |  uses  | output space
The paper  |  uses  | soft-encoding worked well for training , and allowed the network to quickly learn the relationship between elements in the output space
The paper  |  uses  | values
The paper  |  uses  | λ =
The paper  |  uses  | σ =
The paper  |  uses  | values of λ = 1 2 and σ =
The paper  |  outputs  | peaked distribution
The paper  |  uses  | temperature
The paper  |  uses  | middle column
The paper  |  uses  | figure
The paper  |  uses  | vibrancy
The paper  |  uses  | mode
The paper  |  uses  | spatial coherence
The paper  |  uses  | mean
