The paper  |  uses  | different languages
The paper  |  outputs  | second generation
The paper  |  outputs  | speech system
The paper  |  outputs  | second generation of our speech system
The paper  |  uses  | spectrum
The paper  |  uses  | techniques
The paper  |  uses  | sets
The paper  |  uses  | larger models
The paper  |  uses  | high performance computing
The paper  |  uses  | space
The paper  |  uses  | neural network architectures
The paper  |  uses  | spectrum of deep learning techniques capturing large training sets , training larger models with high performance computing , and methodically exploring the space of neural network architectures
The paper  |  uses  | sets
The paper  |  uses  | larger models
The paper  |  uses  | high performance computing
The paper  |  uses  | larger models with high performance computing
The paper  |  solves  | performance
The paper  |  solves  | human workers
The paper  |  solves  | several tests
The paper  |  solves  | different languages
The paper  |  solves  | performance of human workers on several tests in two very different languages
The paper  |  outputs  | performance gains
The paper  |  outputs  | numerous experiments
The paper  |  outputs  | neural networks
The paper  |  outputs  | numerous experiments with neural networks
The paper  |  uses  | networks
The paper  |  uses  | many layers
The paper  |  uses  | recurrent connections
The paper  |  uses  | networks composed of many layers of recurrent connections
The paper  |  outputs  | much better predictions
The paper  |  outputs  | previous work
The paper  |  outputs  | much better predictions than those in previous work
The paper  |  outputs  | larger datasets
The paper  |  outputs  | speech recognition systems
The paper  |  outputs  | larger datasets than what is typically used to train speech recognition systems
The paper  |  uses  | data synthesis
The paper  |  uses  | data
The paper  |  uses  | training
The paper  |  uses  | data synthesis to further augment the data during training
The paper  |  uses  | l
The paper  |  uses  | previous system
The paper  |  uses  | l : in our previous system
The paper  |  uses  | gpus
The paper  |  uses  | model
The paper  |  uses  | gpus to train one model
The paper  |  uses  | parameter servers
The paper  |  uses  | asynchronous updates
The paper  |  uses  | parameter servers and asynchronous updates
The paper  |  uses  | synchronous sgd
The paper  |  outputs  | optimizations
The paper  |  outputs  | single gpu
The paper  |  outputs  | improvements
The paper  |  outputs  | optimizations for a single gpu as well as improvements
The paper  |  uses  | optimization techniques
The paper  |  uses  | high performance computing
The paper  |  uses  | optimization techniques typically found in high performance computing
The paper  |  uses  | l
The paper  |  uses  | high performance
The paper  |  uses  | l : in high performance
The paper  |  uses  | compute nodes
The paper  |  uses  | custom implementation
The paper  |  uses  | all-reduce
The paper  |  uses  | inter-gpu communication
The paper  |  uses  | compute nodes and a custom implementation of all-reduce to accelerate inter-gpu communication
The paper  |  uses  | batching scheme suitable
The paper  |  uses  | exaflop =
The paper  |  uses  | floating-point operations
The paper  |  uses  | batching scheme suitable for gpu 11 exaflop = 1018 floating-point operations
The paper  |  outputs  | percentile compute latency
The paper  |  outputs  | milliseconds
The paper  |  outputs  | percentile compute latency of 67 milliseconds
The paper  |  solves  | l
The paper  |  solves  | past work
