The paper  |  solves  | method
The paper  |  solves  | oﬄine training
The paper  |  solves  | neural networks
The paper  |  solves  | method for oﬄine training of neural networks
The paper  |  uses  | neural networks
The paper  |  uses  | tracking
The paper  |  uses  | real-time applications
The paper  |  uses  | neural networks for tracking , which are typically very slow to run and not practical for real-time applications
The paper  |  uses  | simple feed-forward network
The paper  |  uses  | online training
The paper  |  uses  | simple feed-forward network with no online training
The paper  |  outputs  | tracker
The paper  |  outputs  | state-of-the-art performance
The paper  |  outputs  | tracker 's state-of-the-art performance
The paper  |  outputs  | goturn
The paper  |  outputs  | regression networks
The paper  |  uses  | regression-based approach
The paper  |  uses  | single feed-forward pass
The paper  |  uses  | network
The paper  |  uses  | location
The paper  |  uses  | target object
The paper  |  uses  | single feed-forward pass through the network to regresses directly to the location of the target object
The paper  |  uses  | standard tracking benchmark
The paper  |  uses  | tracker
The paper  |  uses  | state-of-the-art trackers
The paper  |  uses  | standard tracking benchmark to demonstrate that our tracker outperforms state-of-the-art trackers
The paper  |  outputs  | tracker
The paper  |  outputs  | state-of-the-art trackers
The paper  |  outputs  | tracker outperforms state-of-the-art trackers
The paper  |  uses  | class-level labeling
The paper  |  uses  | information
The paper  |  uses  | types
The paper  |  uses  | objects
The paper  |  uses  | class-level labeling or information about the types of objects
The paper  |  uses  | l
The paper  |  uses  | http
The paper  |  uses  | //davheld.github.io/goturn/goturn.html
The paper  |  uses  | l : at http : //davheld.github.io/goturn/goturn.html
The paper  |  uses  | novel objects
The paper  |  uses  | test time
The paper  |  uses  | novel objects at test time
The paper  |  uses  | novel objects
The paper  |  uses  | test time
The paper  |  uses  | online training
The paper  |  uses  | novel objects at test time with no online training
The paper  |  outputs  | search region
The paper  |  outputs  | current frame
The paper  |  outputs  | object
The paper  |  outputs  | previous location
The paper  |  outputs  | search region in our current frame based on the object 's previous location
The paper  |  uses  | k1
The paper  |  uses  | other tasks
The paper  |  outputs  | output
The paper  |  outputs  | box
The paper  |  outputs  | output bounding box
The paper  |  uses  | dropout
The paper  |  uses  | non-linearities
The paper  |  uses  | caﬀenet
The paper  |  uses  | dropout and relu non-linearities as in caﬀenet
The paper  |  outputs  | l
The paper  |  outputs  | section
The paper  |  outputs  | l : in section
The paper  |  uses  | l
The paper  |  uses  | training videos
The paper  |  uses  | l : in our training videos
The paper  |  uses  | laplace distribution
The paper  |  uses  | mean
The paper  |  uses  | details
The paper  |  uses  | laplace distribution with a mean of 0 ( see appendix for details
The paper  |  uses  | size changes
The paper  |  uses  | w
The paper  |  uses  | cid:48
The paper  |  uses  | w · γw h
The paper  |  uses  | cid:48
The paper  |  uses  | = h · γh
The paper  |  uses  | w
