The paper  |  outputs  | model-free algorithm
The paper  |  outputs  | deterministic policy gradient
The paper  |  outputs  | model-free algorithm based on the deterministic policy gradient
The paper  |  solves  | simulated physics tasks
The paper  |  solves  | classic problems such
The paper  |  solves  | cartpole swing-up
The paper  |  solves  | dexterous manipulation
The paper  |  solves  | locomotion
The paper  |  solves  | car driving
The paper  |  solves  | simulated physics tasks , including classic problems such as cartpole swing-up , dexterous manipulation , legged locomotion and car driving
The paper  |  uses  | planning algorithm
The paper  |  uses  | full access
The paper  |  uses  | dynamics
The paper  |  uses  | domain
The paper  |  uses  | derivatives
The paper  |  uses  | planning algorithm with full access to the dynamics of the domain and its derivatives
The paper  |  outputs  | tasks
The paper  |  outputs  | algorithm
The paper  |  outputs  | policies
The paper  |  outputs  | raw pixel inputs
The paper  |  outputs  | tasks the algorithm can learn policies `` end-to-end '' : directly from raw pixel inputs
The paper  |  outputs  | off-policy actor-critic algorithm
The paper  |  outputs  | deep function approximators
The paper  |  outputs  | off-policy actor-critic algorithm using deep function approximators
The paper  |  uses  | deep function approximators
The paper  |  uses  | policies
The paper  |  uses  | continuous action spaces
The paper  |  uses  | deep function approximators that can learn policies in high-dimensional , continuous action spaces
The paper  |  outputs  | conference paper
The paper  |  outputs  | variety
The paper  |  outputs  | physical control problems
The paper  |  outputs  | variety of challenging physical control problems
The paper  |  uses  | standard reinforcement
The paper  |  uses  | setup consisting
The paper  |  uses  | agent
The paper  |  uses  | standard reinforcement learning setup consisting of an agent
The paper  |  uses  | standard reinforcement
The paper  |  uses  | markov decision process
The paper  |  uses  | standard reinforcement as a markov decision process
The paper  |  outputs  | standard reinforcement
The paper  |  outputs  | function µ
The paper  |  outputs  | standard reinforcement as a function µ
The paper  |  outputs  | conference paper
The paper  |  uses  | function approximators
The paper  |  uses  | θq
The paper  |  uses  | function approximators parameterized by θq
The paper  |  uses  | actor-critic approach
The paper  |  uses  | dpg algorithm
The paper  |  uses  | silver et al
The paper  |  uses  | actor-critic approach based on the dpg algorithm ( silver et al
The paper  |  uses  | neural network function approximators
The paper  |  uses  | large state
The paper  |  uses  | action spaces
The paper  |  uses  | neural network function approximators to learn in large state and action spaces
The paper  |  uses  | low-dimensional state description
The paper  |  uses  | joint angles
The paper  |  uses  | positions
The paper  |  uses  | high-dimensional renderings
The paper  |  uses  | environment
The paper  |  uses  | low-dimensional state description ( such as joint angles and positions ) and high-dimensional renderings of the environment
The paper  |  uses  | action
The paper  |  outputs  | results
The paper  |  outputs  | components
The paper  |  outputs  | algorithm
The paper  |  outputs  | results with components of our algorithm
The paper  |  uses  | baselines
The paper  |  uses  | replay buffer
The paper  |  uses  | issues
The paper  |  uses  | replay buffer to address these issues
The paper  |  uses  | issues
The paper  |  outputs  | copy
The paper  |  outputs  | actor
The paper  |  outputs  | critic networks
