The paper  |  solves  | hand-designed update rules
The paper  |  solves  | learned update rule
The paper  |  solves  | optimizer g
The paper  |  solves  | speciﬁed
The paper  |  solves  | own set
The paper  |  solves  | parameters
The paper  |  solves  | hand-designed update rules with a learned update rule , which we call the optimizer g , speciﬁed by its own set of parameters
The paper  |  solves  | generalization power
The paper  |  uses  | optimizer
The paper  |  uses  | notation ∇t = ∇θf
The paper  |  uses  | θt
The paper  |  uses  | notation ∇t = ∇θf ( θt
The paper  |  outputs  | different weights
The paper  |  uses  | wt
The paper  |  uses  | [ t = t
The paper  |  uses  | original problem
The paper  |  uses  | wt = 1 [ t = t to match the original problem
The paper  |  uses  | original problem
The paper  |  solves  | problem
The paper  |  solves  | objective
The paper  |  solves  | problem by relaxing the objective
The paper  |  solves  | objective
The paper  |  uses  | wt
The paper  |  uses  | t
The paper  |  uses  | wt = 1 for every t
The paper  |  uses  | optimizer m
The paper  |  uses  | coordinatewise
The paper  |  uses  | parameters
The paper  |  uses  | objective function
The paper  |  uses  | other common update rules
The paper  |  uses  | rmsprop
The paper  |  uses  | adam
The paper  |  uses  | optimizer m which operates coordinatewise on the parameters of the objective function , similar to other common update rules like rmsprop and adam
The paper  |  uses  | two-layer long short term memory
The paper  |  uses  | lstm
The paper  |  uses  | network
The paper  |  uses  | two-layer long short term memory ( lstm ) network
The paper  |  uses  | now-standard forget gate architecture
The paper  |  solves  | different method
The paper  |  solves  | inputs
The paper  |  solves  | optimizer inputs
The paper  |  solves  | different method of preprocessing inputs to the optimizer inputs
The paper  |  uses  | optimizer
The paper  |  uses  | order
The paper  |  uses  | optimizer in order
The paper  |  outputs  | average performance
The paper  |  outputs  | number
The paper  |  outputs  | test problems
The paper  |  outputs  | average performance on a number of freshly sampled test problems
The paper  |  uses  | default values
The paper  |  uses  | optim package
The paper  |  uses  | torch7
The paper  |  uses  | default values from the optim package in torch7
The paper  |  uses  | optimizer
The paper  |  uses  | simple class
The paper  |  uses  | synthetic 10-dimensional quadratic functions
The paper  |  uses  | optimizer on a simple class of synthetic 10-dimensional quadratic functions
The paper  |  uses  | optimizer
The paper  |  uses  | simple class
The paper  |  uses  | synthetic 10-dimensional quadratic functions
The paper  |  uses  | optimizer on a simple class of synthetic 10-dimensional quadratic functions
The paper  |  uses  | functions
The paper  |  uses  | form
The paper  |  uses  | functions of the form
The paper  |  uses  | functions
The paper  |  uses  | form
The paper  |  uses  | functions of the form
The paper  |  uses  | preprocessing
The paper  |  uses  | input
The paper  |  uses  | appendix
The paper  |  uses  | input preprocessing described in appendix
The paper  |  uses  | lstm optimizer
The paper  |  uses  | previous experiment
The paper  |  uses  | lstm optimizer from the previous experiment
The paper  |  uses  | optimizer
The paper  |  uses  | layer
The paper  |  uses  | units
The paper  |  uses  | sigmoid non-linearities
The paper  |  uses  | layer of 20 units and sigmoid non-linearities
The paper  |  uses  | non-linearities
The paper  |  uses  | model
The paper  |  uses  | feed-forward layers
The paper  |  uses  | model with both convolutional and feed-forward layers
The paper  |  outputs  | section due
