The paper  |  outputs  | control
The paper  |  outputs  | spatial location
The paper  |  outputs  | control over spatial location
The paper  |  outputs  | method
The paper  |  outputs  | high-resolution
The paper  |  outputs  | stylisation
The paper  |  outputs  | common failure cases such
The paper  |  outputs  | ground textures
The paper  |  outputs  | regions
The paper  |  outputs  | method by allowing high-resolution controlled stylisation and helps to alleviate common failure cases such as applying ground textures to sky regions
The paper  |  outputs  | artwork such
The paper  |  outputs  | vincent van gogh
The paper  |  outputs  | wheatﬁeld
The paper  |  outputs  | cypresses
The paper  |  outputs  | artwork such as vincent van gogh 's a wheatﬁeld with cypresses
The paper  |  solves  | meaningful control
The paper  |  solves  | recent image stylisation method
The paper  |  solves  | meaningful control to a recent image stylisation method
The paper  |  outputs  | meaningful control
The paper  |  outputs  | recent image stylisation method
The paper  |  outputs  | meaningful control to a recent image stylisation method
The paper  |  outputs  | methods
The paper  |  outputs  | image stylisation
The paper  |  outputs  | different spatial regions
The paper  |  outputs  | fig
The paper  |  outputs  | methods for controlling image stylisation independently in different spatial regions ( fig
The paper  |  outputs  | factorisation
The paper  |  outputs  | style
The paper  |  outputs  | aspects
The paper  |  outputs  | style information
The paper  |  outputs  | multiple images
The paper  |  outputs  | creation
The paper  |  outputs  | interesting styles
The paper  |  outputs  | factorisation of style into these aspects can gracefully combine style information from multiple images and thus enable the creation of new , perceptually interesting styles
The paper  |  uses  | vgg-19 network
The paper  |  uses  | style
The paper  |  outputs  | means
The paper  |  outputs  | control neural style transfer
The paper  |  outputs  | means to spatially control neural style transfer
The paper  |  uses  | style
The paper  |  uses  | sky region
The paper  |  uses  | style to the sky region
The paper  |  outputs  | guidance channels
The paper  |  outputs  | layer
The paper  |  outputs  | guidance channels for each layer
The paper  |  uses  | eroded version
The paper  |  uses  | spatial guiding channels
The paper  |  uses  | eroded version of the spatial guiding channels
The paper  |  uses  | unguided style loss
The paper  |  uses  | neurons
The paper  |  uses  | unguided style loss for neurons
The paper  |  outputs  | simple methods
The paper  |  outputs  | colours
The paper  |  outputs  | source image
The paper  |  outputs  | neural style transfer-in other
The paper  |  outputs  | words
The paper  |  outputs  | style
The paper  |  outputs  | colours
The paper  |  outputs  | simple methods to preserve the colours of the source image during neural style transfer-in other words , to transfer the style without transferring the colours
The paper  |  outputs  | colours
The paper  |  outputs  | source image
The paper  |  outputs  | colours of the source image
The paper  |  uses  | linear methods
The paper  |  uses  | colour style transfer
The paper  |  uses  | linear methods , which are simple and effective for colour style transfer
The paper  |  outputs  | methods
The paper  |  outputs  | different styles
The paper  |  outputs  | different scales
The paper  |  outputs  | high-resolution output
The paper  |  outputs  | style
