The paper  |  outputs  | deep neural network
The paper  |  outputs  | pixels
The paper  |  outputs  | image
The paper  |  outputs  | spatial dimensions
The paper  |  outputs  | deep neural network that sequentially predicts the pixels in an image along the two spatial dimensions
The paper  |  uses  | discrete probability
The paper  |  uses  | raw pixel values
The paper  |  uses  | discrete probability of the raw pixel values
The paper  |  uses  | complete set
The paper  |  uses  | dependencies
The paper  |  uses  | image
The paper  |  uses  | complete set of dependencies in the image
The paper  |  outputs  | log-likelihood scores
The paper  |  outputs  | benchmarks
The paper  |  outputs  | diverse imagenet dataset
The paper  |  outputs  | benchmarks on the diverse imagenet dataset
The paper  |  uses  | two-dimensional rnns
The paper  |  uses  | two-dimensional rnns
The paper  |  uses  | large-scale modeling
The paper  |  uses  | natural images
The paper  |  uses  | two-dimensional rnns to large-scale modeling of natural images
The paper  |  outputs  | types
The paper  |  outputs  | layers
The paper  |  outputs  | types of these layers
The paper  |  uses  | residual connections
The paper  |  uses  | al
The paper  |  uses  | residual connections ( he et al
The paper  |  uses  | simpliﬁed architecture
The paper  |  uses  | shares
The paper  |  uses  | same core components
The paper  |  uses  | pixelrnn
The paper  |  uses  | simpliﬁed architecture which shares the same core components as the pixelrnn
The paper  |  uses  | sequence model
The paper  |  uses  | ﬁxed dependency range
The paper  |  uses  | masked convolutions
The paper  |  uses  | sequence model with a ﬁxed dependency range , by using masked convolutions
The paper  |  uses  | pixels
The paper  |  uses  | discrete values
The paper  |  uses  | pixels as discrete values
The paper  |  uses  | multinomial distribution
The paper  |  uses  | simple softmax layer
The paper  |  uses  | multinomial distribution implemented with a simple softmax layer
The paper  |  outputs  | multi-scale version
The paper  |  outputs  | pixelrnn
The paper  |  outputs  | multi-scale version of the pixelrnn
The paper  |  outputs  | purely convolutional pixelcnn
The paper  |  outputs  | types
The paper  |  outputs  | pixelrnns
The paper  |  outputs  | types of pixelrnns
The paper  |  uses  | likelihood
The paper  |  uses  | images
The paper  |  uses  | new ones
The paper  |  uses  | likelihood of images and to generate new ones
The paper  |  uses  | p
The paper  |  uses  | discrete distribution
The paper  |  uses  | p as a discrete distribution
The paper  |  uses  | softmax layer
The paper  |  outputs  | architectural components
The paper  |  outputs  | pixelrnn
The paper  |  outputs  | architectural components that compose the pixelrnn
The paper  |  outputs  | types
The paper  |  outputs  | lstm layers
The paper  |  outputs  | types of lstm layers
The paper  |  uses  | convolutions
The paper  |  uses  | states
The paper  |  uses  | spatial dimensions
The paper  |  uses  | convolutions to compute at once the states along one of the spatial dimensions
The paper  |  outputs  | residual connections
The paper  |  outputs  | training
The paper  |  outputs  | pixelrnn
The paper  |  outputs  | many lstm layers
The paper  |  outputs  | residual connections to improve the training of a pixelrnn with many lstm layers
The paper  |  outputs  | residual connections
The paper  |  outputs  | training
The paper  |  outputs  | pixelrnn
The paper  |  outputs  | many lstm layers
The paper  |  outputs  | residual connections to improve the training of a pixelrnn with many lstm layers
The paper  |  outputs  | training
The paper  |  outputs  | pixelrnn
The paper  |  outputs  | many lstm layers
